trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,6,-22.22746749198955,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,0,-3.561477014897994,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,7,-17.040180126041694,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,22,0.9627444181215339,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,6,-64.02543110505776,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,0,-9.176284282468854,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",35,13,10.02887201809162,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,-67.53657103229953,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,2,-9.318315811261721,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,0,17.26662184651609,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",25,0,-16.034120644863435,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,8,-12.305593297649569,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-179.26033309350217,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,12,10.69612265021503,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",25,0,-23.906342685836073,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,7,-46.24243565700692,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,0,-32.39838041369287,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,0,-30.894306254521002,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
